Регіон	Тип ради	Партія	Кількість голосів, поданих за партію	Кількість мандатів	Вакантні мандати
Україна, Вінницька обласна рада	Обласна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	176832	27	0
Україна, Вінницька обласна рада	Обласна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	112601	17	0
Україна, Вінницька обласна рада	Обласна рада	Радикальна партія Олега Ляшка	61751	9	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	45418	7	0
Україна, Вінницька обласна рада	Обласна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	41670	6	0
Україна, Вінницька обласна рада	Обласна рада	Аграрна партія України	40545	6	0
Україна, Вінницька обласна рада	Обласна рада	"Політична Партія ""Опозиційний блок"""	37656	6	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	35889	6	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	25078	0	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Наш край"""	20650	0	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Нова держава"""	5594	0	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""	4270	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1904	7	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1454	6	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	1034	4	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Сила людей"""	1020	4	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Наш край"""	733	3	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	712	3	0
Вінницька обл., Козятинська міська рада	Міська рада	Радикальна партія Олега Ляшка	698	3	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""КОНКРЕТНИХ СПРАВ"""	541	2	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	496	2	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Нова держава"""	462	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Європейська партія України"""	314	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	291	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Громадянська позиція"""	144	0	0
Вінницька обл., Ладижинська міська рада	Міська рада	"Політична партія ""Наш край"""	2225	7	0
Вінницька обл., Ладижинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1740	6	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1379	5	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" "	796	3	0
Вінницька обл., Ладижинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	694	2	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	466	2	0
Вінницька обл., Ладижинська міська рада	Міська рада	Радикальна партія Олега Ляшка	456	1	0
Вінницька обл., Ладижинська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	331	0	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНА ОПОЗИЦІЯ"""	52	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ"""	28970	20	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	15368	10	0
Вінницька обл., Вінницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	12729	9	0
Вінницька обл., Вінницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	9760	6	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	7489	5	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	5470	4	0
Вінницька обл., Вінницька міська рада	Міська рада	Радикальна партія Олега Ляшка	5215	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	5128	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	4462	0	0
Вінницька обл., Вінницька міська рада	Міська рада	Партія Пенсіонерів України	3558	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УНА-УНСО"""	2069	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Громадянська позиція"""	2031	0	0
Вінницька обл., Вінницька міська рада	Міська рада	політична партія Народний Рух України	1472	0	0
Вінницька обл., Вінницька міська рада	Міська рада	Аграрна партія України	993	0	0
